id,months_age,time,dur_min,meaningful_min,distant_min,tv_min,noise_min,silence_min,AWC,CTC,CVC
4943,18,8.45,2.92,0.883333333,1.3,0,0.1,0.616666667,166,2,5
4943,18,8.5,5,1.283333333,2.466666667,0,0.016666667,1.2,195,16,29
4943,18,8.55,5,0.466666667,2.033333333,0,0.016666667,2.466666667,48,2,16
4943,18,9,5,0.85,1.6,0,0,2.5,89,8,13
4943,18,9.05,5,0.2,0.916666667,0.166666667,0,3.683333333,9,2,12
4943,18,9.1,5,0.133333333,1.033333333,0.016666667,0,3.783333333,0,0,4
4943,18,9.15,5,0.366666667,1.266666667,0.05,0,3.266666667,92,2,3
4943,18,9.2,5,0.783333333,2.55,0.216666667,0,1.416666667,77,4,18
4943,18,9.25,5,0.566666667,3.083333333,0,0.016666667,1.3,49,1,16
4943,18,9.3,5,0.916666667,3.116666667,0.016666667,0.016666667,0.9,86,10,36
4943,18,9.35,5,0.85,2.116666667,0,0.016666667,1.983333333,86,7,21
4943,18,9.4,5,0.416666667,2.733333333,0,0.133333333,1.683333333,48,3,11
4943,18,9.45,5,0.483333333,3.35,0,0.083333333,1.066666667,31,0,7
4943,18,9.5,5,0.8,2.366666667,0,0.016666667,1.783333333,36,5,25
4943,18,9.55,5,0.766666667,3.183333333,0,0.05,0.966666667,36,2,17
4943,18,10,5,0.783333333,3.116666667,0,0.016666667,1.05,157,0,3
4943,18,10.05,5,2.133333333,1.7,0,0,1.15,470,10,16
4943,18,10.1,5,2.616666667,1.166666667,0,0,1.183333333,602,8,8
4943,18,10.15,5,1.733333333,2.183333333,0,0.116666667,0.933333333,378,9,15
4943,18,10.2,5,1.516666667,3.033333333,0,0.033333333,0.383333333,318,6,13
4943,18,10.25,5,0.616666667,2.966666667,0,0.016666667,1.366666667,70,1,15
4943,18,10.3,5,0.5,2.816666667,0.016666667,0.066666667,1.566666667,37,3,15
4943,18,10.35,5,0.533333333,3.85,0,0.083333333,0.5,1,0,15
4943,18,10.4,5,0.4,3.366666667,0,0.116666667,1.1,0,0,18
4943,18,10.45,5,0.483333333,2.183333333,0,0.05,2.266666667,29,3,17
4943,18,10.5,5,1.016666667,2.916666667,0,0.016666667,1,32,5,22
4943,18,10.55,5,0.916666667,2.866666667,0,0.016666667,1.15,83,6,30
4943,18,11,5,0.85,2.783333333,0,0.083333333,1.233333333,29,1,16
4943,18,11.05,5,0.4,3.383333333,0,0.416666667,0.766666667,16,0,6
4943,18,11.1,5,1.55,2.966666667,0,0.266666667,0.183333333,199,8,15
4943,18,11.15,5,0.883333333,2.8,0,0.033333333,1.25,28,3,28
4943,18,11.2,5,1.683333333,2.9,0,0,0.383333333,27,1,23
4943,18,11.25,5,2.066666667,2.2,0,0.016666667,0.683333333,211,16,36
4943,18,11.3,5,1.616666667,1.75,0,0.15,1.433333333,170,13,32
4943,18,11.35,5,1.716666667,2,0,0,1.266666667,126,4,22
4943,18,11.4,5,1.1,1.333333333,0,0,2.533333333,9,2,24
4943,18,11.45,5,0.15,0.916666667,0,0,3.916666667,0,0,4
4943,18,11.5,5,0.55,2.116666667,0,0,2.3,0,0,20
4943,18,11.55,5,0.9,3.25,0,0,0.816666667,78,10,23
4943,18,12,5,0.683333333,3.433333333,0,0.066666667,0.766666667,8,1,27
4943,18,12.05,5,0.233333333,3.85,0,0.116666667,0.75,0,0,9
4943,18,12.1,5,0.5,3.766666667,0,0.033333333,0.65,30,0,14
4943,18,12.15,5,0.833333333,2.85,0,0.016666667,1.283333333,0,0,26
4943,18,12.2,5,0.766666667,3.833333333,0,0,0.366666667,47,1,13
4943,18,12.25,5,0.666666667,4.166666667,0,0,0.133333333,15,0,25
4943,18,12.3,5,0.533333333,3.35,0.016666667,0.15,0.9,12,0,5
4943,18,12.35,5,0.766666667,2.383333333,0,0,1.816666667,101,8,21
4943,18,12.4,5,1.25,2.633333333,0.083333333,0.183333333,0.816666667,129,7,30
4943,18,12.5,5,0.933333333,2.966666667,0,0,1.066666667,43,1,1
4943,18,12.55,5,1.183333333,3.15,0,0.016666667,0.6,57,0,2
4943,18,13,5,0.65,3.816666667,0.016666667,0,0.483333333,61,0,0
4943,18,13.05,5,0.75,3.133333333,0,0.016666667,1.05,75,0,2
4943,18,13.1,5,0.516666667,3.966666667,0,0.033333333,0.466666667,20,3,8
4943,18,13.15,5,0.466666667,3.933333333,0.016666667,0.066666667,0.483333333,45,1,5
4943,18,13.2,5,0.266666667,3.966666667,0,0.083333333,0.65,0,0,12
4943,18,13.25,5,0.416666667,3.633333333,0,0.016666667,0.9,53,1,1
4943,18,13.3,5,0.533333333,3.883333333,0.033333333,0,0.516666667,52,0,3
4943,18,13.35,5,0.65,3.95,0,0,0.366666667,81,5,15
4943,18,13.4,5,1.133333333,3.55,0,0,0.283333333,50,7,61
4943,18,13.45,5,0.616666667,3.966666667,0,0.116666667,0.25,70,2,13
4943,18,13.5,5,0.583333333,1.833333333,1.25,0,1.3,41,2,13
4943,18,13.55,5,0.05,0,4.216666667,0.133333333,0.566666667,4,0,0
4943,18,15.55,5,1.15,0.75,0.016666667,0,3.05,142,2,4
4943,18,16,5,1.716666667,0.7,0.016666667,0,2.533333333,249,7,19
4943,18,16.05,5,1.35,0.5,0.016666667,0,3.1,139,2,8
4943,18,16.1,5,1.733333333,1.166666667,0,0,2.083333333,186,13,41
4943,18,16.15,5,0.283333333,1.066666667,0,0.066666667,3.55,5,0,7
4943,18,16.2,5,0.533333333,2.3,0,0.083333333,2.05,31,1,22
4943,18,16.25,5,1.766666667,1.616666667,0,0,1.583333333,236,9,21
4943,18,16.3,5,1.35,1.566666667,0,0.166666667,1.866666667,123,9,38
4943,18,16.35,5,0.683333333,2.5,0,0,1.783333333,41,4,22
4943,18,16.4,5,0.883333333,3.1,0,0.133333333,0.85,142,5,20
4943,18,16.45,5,0.683333333,2.433333333,0.016666667,0.316666667,1.516666667,112,6,18
4943,18,16.5,5,0.85,1.766666667,0,0.4,1.95,23,2,15
4943,18,16.55,5,1.65,1.616666667,0,0.033333333,1.666666667,121,4,11
4943,18,17,5,0.95,2.433333333,0,0.1,1.483333333,131,7,24
